
Host: Davids-iMac.local

Timers On : Wed Nov  8 16:46:13 2017
Timers Off: Wed Nov  8 16:46:47 2017

Wall Time:       33.38 seconds

JK: (A|mn)                  :      7.067u      0.000s      4.314w     10 calls
JK: (A|Q)^-1/2              :      1.217u      0.017s      0.850w     10 calls
JK: (Q|mn)                  :      0.583u      0.017s      0.339w     10 calls
HF: Form H                  :      0.000u      0.017s      0.025w      5 calls
HF: Form S/X                :      0.000u      0.000s      0.004w      5 calls
HF: Guess                   :      0.117u      0.000s      0.095w      5 calls
SAD Guess                   :      0.117u      0.000s      0.093w      1 calls
HF: Form G                  :      1.733u      0.067s      1.101w     57 calls
JK: D                       :      0.000u      0.000s      0.002w    112 calls
JK: USO2AO                  :      0.000u      0.000s      0.001w    112 calls
JK: JK                      :      4.983u      0.233s      3.156w    112 calls
JK: J                       :      0.283u      0.000s      0.199w    112 calls
JK: J1                      :      0.167u      0.000s      0.113w    122 calls
JK: J2                      :      0.100u      0.000s      0.082w    122 calls
JK: K                       :      4.550u      0.017s      2.725w    112 calls
JK: K1                      :      3.883u      0.000s      2.322w    167 calls
JK: K2                      :      0.667u      0.017s      0.401w    122 calls
JK: AO2USO                  :      0.000u      0.000s      0.000w    112 calls
HF: Form F                  :      0.000u      0.000s      0.001w     57 calls
HF: DIIS                    :      0.033u      0.050s      0.026w     57 calls
DIISManager::add_entry      :      0.000u      0.017s      0.007w     52 calls
DIISManager::extrapolate    :      0.000u      0.033s      0.011w     47 calls
bMatrix setup               :      0.000u      0.017s      0.005w     47 calls
bMatrix pseudoinverse       :      0.000u      0.000s      0.002w     47 calls
New vector                  :      0.000u      0.017s      0.004w     47 calls
HF: Form C                  :      0.083u      0.000s      0.040w     57 calls
HF: Form D                  :      0.000u      0.000s      0.001w     57 calls
DFMP2 Singles               :      0.000u      0.000s      0.001w      5 calls
DFMP2 Aia                   :      1.550u      0.033s      0.966w      5 calls
DFMP2 (A|mn)                :      1.217u      0.000s      0.732w      5 calls
DFMP2 (A|mn)C_mi            :      0.033u      0.000s      0.015w      5 calls
DFMP2 (A|mi)C_na            :      0.017u      0.000s      0.007w      5 calls
DFMP2 Aia Write             :      0.000u      0.000s      0.004w      5 calls
DFMP2 iaQ                   :      0.367u      0.067s      0.293w      5 calls
DFMP2 Metric                :      0.283u      0.033s      0.190w      5 calls
